country_name,regional_indicator,year,happiness,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption
South Korea,East Asia,2006,5.332000000000001,10.31,0.775,70.2,0.715,-0.052000000000000005,0.799
South Korea,East Asia,2007,5.767,10.360999999999999,0.8270000000000001,70.5,0.6559999999999999,-0.059000000000000004,0.8029999999999999
South Korea,East Asia,2008,5.39,10.383,0.754,70.8,0.524,-0.102,0.7709999999999999
South Korea,East Asia,2009,5.648,10.386,0.8109999999999999,71.1,0.6,-0.096,0.787
South Korea,East Asia,2010,6.1160000000000005,10.447000000000001,0.816,71.4,0.677,-0.033,0.752
South Korea,East Asia,2011,6.947,10.475,0.809,71.66,0.682,-0.048,0.8270000000000001
South Korea,East Asia,2012,6.002999999999999,10.494000000000002,0.775,71.92,0.618,,0.8440000000000001
South Korea,East Asia,2013,5.959,10.52,0.797,72.18,0.642,-0.05,0.8320000000000001
South Korea,East Asia,2014,5.801,10.546,0.738,72.44,0.623,-0.043,0.8340000000000001
South Korea,East Asia,2015,5.78,10.568,0.768,72.7,0.616,-0.036000000000000004,0.841
South Korea,East Asia,2016,5.971,10.593,0.8109999999999999,73.0,0.591,0.026000000000000002,0.862
South Korea,East Asia,2017,5.874,10.620999999999999,0.807,73.3,0.5379999999999999,0.013999999999999999,0.851
South Korea,East Asia,2018,5.84,10.642999999999999,0.7979999999999999,73.6,0.6,-0.08900000000000001,0.797
South Korea,East Asia,2019,5.903,10.661,0.7829999999999999,73.9,0.706,-0.055,0.718
South Korea,East Asia,2020,5.792999999999999,10.648,0.8079999999999999,74.2,0.711,-0.106,0.665
